SimulationID,XStripID1,XStripID2,XStripID3,YStripID1,YStripID2,XStripEnergy1,XStripEnergy2,XStripEnergy3,YStripEnergy1,YStripEnergy2,ResultPositionX,ResultPositionY,ResultPositionZ,ResultDirectionX,ResultDirectionY,ResultDirectionZ
21.0,57.0,58.0,59.0,14.0,15.0,2257.3506,2165.15,1271.3555,1026.8762,4666.98,2.95201,-2.02961,0.41519,-0.54951,0.51058,-0.66132
36.0,61.0,62.0,63.0,9.0,10.0,400.52655,1166.0273,3033.7107,494.10294,4106.1616,3.41162,-2.58698,-0.3982,0.82161,0.34985,0.45007
104.0,23.0,24.0,25.0,22.0,23.0,273.6082,3569.191,248.376,22.11386,4069.0613,-0.76151,-1.03766,-0.44442,-0.94984,-0.22595,0.21621
121.0,14.0,15.0,16.0,11.0,12.0,2070.0544,2871.7617,60.25229,4701.7754,300.2929,-1.84121,-2.28089,0.43284,-0.32884,-0.94282,-0.05442
261.0,5.0,6.0,7.0,61.0,62.0,316.6446,2398.5034,971.94116,1968.4332,1718.6561,-2.84561,3.38132,-0.25611,0.28997,0.61591,0.73251
297.0,30.0,31.0,32.0,2.0,3.0,909.1576,939.8945,227.74756,797.64716,1279.1525,0.02986,-3.30583,-0.25041,-0.77511,-0.47927,0.41171
353.0,20.0,21.0,22.0,30.0,31.0,78.37156,48.6341,91.37459,128.9531,89.42715,-1.06463,-0.10397,0.34414,0.89503,-0.44201,-0.05954
422.0,28.0,29.0,30.0,44.0,45.0,2173.5154,761.94556,250.03386,250.03386,2935.461,-0.2817,1.57038,0.38089,-0.47786,0.51665,0.71044
439.0,4.0,5.0,6.0,50.0,51.0,2963.0186,545.21344,1338.0458,2412.9358,2433.3804,-2.86888,2.24245,-0.09011,-0.99521,0.0477,-0.08529
527.0,56.0,57.0,58.0,49.0,50.0,337.33725,781.45917,2435.1191,540.8119,3013.1038,2.94905,2.04757,0.09194,-0.59469,0.75973,-0.26298
544.0,50.0,51.0,52.0,17.0,18.0,4565.473,415.44745,175.10275,4980.921,175.10275,2.16303,-1.71815,-0.39103,0.37265,-0.19278,0.90773
565.0,36.0,37.0,38.0,10.0,11.0,9.84979,1490.0931,2359.0752,332.097,3526.9211,0.55829,-2.39653,0.12874,0.60315,0.28788,-0.74387
571.0,11.0,12.0,13.0,25.0,26.0,812.8415,1345.6874,730.86505,2114.6243,774.7697,-2.4258,-0.77455,0.5916,0.68559,0.69344,-0.2216
592.0,58.0,59.0,60.0,35.0,36.0,236.90742,1458.5627,2932.0566,3905.4382,722.08856,3.09474,0.44046,0.59516,0.28417,0.07745,-0.95564
631.0,44.0,45.0,46.0,62.0,63.0,1427.0431,1165.8898,831.4417,2260.3538,1164.0209,1.42536,3.59015,0.2639,0.28006,-0.00087,0.95998
656.0,3.0,4.0,5.0,12.0,13.0,288.42447,1591.9188,2141.3079,50.29237,3971.3586,-3.28228,-2.11565,0.24196,0.61631,-0.58664,-0.52538
724.0,24.0,25.0,26.0,26.0,27.0,113.76027,2156.8286,1194.1501,2968.9863,495.75284,-0.85594,-0.6472,-0.05542,0.92105,0.13987,0.36347
729.0,47.0,48.0,49.0,7.0,8.0,215.5064,2306.2625,161.77539,177.50558,2506.0388,1.99474,-2.69557,-0.72061,-0.74881,0.13777,0.64831
782.0,7.0,8.0,9.0,38.0,39.0,9.8116,3426.873,46.63974,569.74316,2913.581,-2.64953,0.89213,0.62366,-0.96866,-0.21979,-0.11568
911.0,40.0,41.0,42.0,61.0,62.0,1124.5273,1671.7129,2009.2512,1270.8938,3533.3203,1.07618,3.5602,-0.33973,0.7473,0.51123,-0.42448
930.0,3.0,4.0,5.0,16.0,17.0,1462.3054,1008.9101,333.58267,1390.1511,1414.6471,-3.07274,-1.72155,-0.6752,-0.98936,-0.06905,0.12802
946.0,3.0,4.0,5.0,2.0,3.0,356.51443,1649.4667,1157.649,1338.6758,1824.9542,-3.29838,-3.42401,0.53119,0.90078,-0.20313,0.38384
947.0,44.0,45.0,46.0,22.0,23.0,205.09805,3059.6304,1106.801,3330.5513,1040.9781,1.48246,-1.07383,0.68039,0.70749,0.29048,-0.64427
1036.0,54.0,55.0,56.0,55.0,56.0,329.62823,2450.661,1033.3527,2652.2036,1161.4382,2.88494,2.87475,-0.67043,-0.79993,-0.3766,0.4672
1189.0,54.0,55.0,56.0,27.0,28.0,848.1188,2185.1885,799.46,3537.5486,295.2569,2.89139,-0.43616,-0.50959,-0.95414,-0.2989,0.01639
1267.0,26.0,27.0,28.0,62.0,63.0,594.4474,806.9894,2732.0515,1301.847,2831.641,-0.57718,3.67221,0.40336,-0.23382,0.25452,-0.93838
1329.0,58.0,59.0,60.0,29.0,30.0,466.70056,700.3966,321.8584,868.1677,620.78784,3.10919,-0.23721,0.37888,0.98378,-0.06089,0.16875
1380.0,46.0,47.0,48.0,52.0,53.0,541.5408,1798.579,3041.7473,856.8486,4525.0186,1.68102,2.37698,-0.27352,0.57158,0.15295,0.80617
1419.0,39.0,40.0,41.0,17.0,18.0,1360.0071,1057.5226,522.4804,1023.62994,1916.3801,1.07147,-1.66222,0.66911,-0.93161,0.18653,-0.31195
1527.0,14.0,15.0,16.0,58.0,59.0,1191.4645,1338.815,2312.452,3805.9695,1036.7618,-1.84456,3.15152,-0.14047,-0.37593,-0.80558,0.45796
1544.0,13.0,14.0,15.0,18.0,19.0,943.9746,1951.4431,190.36436,1824.2047,1261.5773,-2.0798,-1.60178,0.47353,-0.80978,-0.06457,0.58317
1584.0,50.0,51.0,52.0,25.0,26.0,2107.2673,2123.298,189.53955,1973.4126,2446.6924,2.33931,-0.79103,0.61001,-0.9708,-0.02848,-0.23821
1588.0,38.0,39.0,40.0,60.0,61.0,58.59998,2158.994,852.06854,1295.4669,1774.1956,0.88387,3.24423,-0.54654,0.52064,0.57906,0.62739
1643.0,7.0,8.0,9.0,41.0,42.0,494.91382,862.574,1729.615,1842.4941,1244.6085,-2.79968,1.16104,0.5655,0.81814,0.38043,0.43118
1702.0,0.0,1.0,2.0,51.0,52.0,754.2577,1951.6229,909.38196,1609.3894,2005.8732,-3.89601,2.24352,0.4764,0.7508,0.60054,-0.27505
1747.0,18.0,19.0,20.0,0.0,1.0,1303.8484,1781.8029,621.63293,1056.0684,2651.2158,-1.28531,-3.63979,0.51962,-0.76024,-0.10275,-0.64146
1839.0,6.0,7.0,8.0,54.0,55.0,95.10031,1620.646,1517.7235,1517.7235,1715.7462,-2.90341,2.68458,-0.15387,0.85423,0.51594,0.06401
1960.0,33.0,34.0,35.0,49.0,50.0,2229.9807,1592.9802,924.79144,3813.1167,934.6356,0.16336,2.06346,0.74265,0.45082,-0.59171,-0.66832
2031.0,7.0,8.0,9.0,53.0,54.0,73.16296,2170.3628,1937.2725,4108.8667,71.9316,-2.7821,2.54004,-0.59319,0.70075,-0.34548,0.62418
2101.0,3.0,4.0,5.0,38.0,39.0,649.75885,3352.9607,37.09454,648.5743,3391.2397,-3.33509,0.78192,-0.45385,0.95412,-0.25522,-0.15657
2103.0,1.0,2.0,3.0,26.0,27.0,541.9102,1062.4442,1135.0239,2185.52,553.8583,-3.50596,-0.57669,-0.52619,0.92691,0.24486,0.28441
2185.0,43.0,44.0,45.0,41.0,42.0,1506.6885,1632.5027,2282.1318,3883.9084,1537.5438,1.26522,1.0998,0.32289,0.71833,-0.2316,-0.65602
2189.0,16.0,17.0,18.0,35.0,36.0,568.9426,1691.6653,1197.3009,454.95966,3002.9492,-1.78913,0.42691,-0.31666,0.72605,0.6017,-0.33288
2230.0,57.0,58.0,59.0,2.0,3.0,558.9724,1260.2201,1664.5043,1762.2999,1721.3969,2.92927,-3.40737,-0.65006,0.74653,0.17711,0.64135
2278.0,16.0,17.0,18.0,23.0,24.0,3024.51,834.5515,765.5462,1392.3428,3232.265,-1.52045,-0.98159,-0.15808,-0.4797,0.67536,0.56016
2357.0,33.0,34.0,35.0,59.0,60.0,1783.49,927.32495,846.00806,2681.7078,875.1152,0.44294,3.25766,-0.60705,-0.652,-0.43917,-0.61808
2402.0,61.0,62.0,63.0,12.0,13.0,30.71687,564.72296,2664.9814,2866.8525,393.56876,3.73909,-2.1852,-0.56169,-0.58508,0.2314,-0.77726
2631.0,0.0,1.0,2.0,49.0,50.0,2000.9983,1246.9047,1111.9167,3536.2715,823.5482,-3.36999,2.16442,-0.31503,-0.3887,0.84987,0.35585
2694.0,32.0,33.0,34.0,60.0,61.0,1358.3429,2099.0366,106.49234,3457.3796,106.49234,0.24869,3.38108,0.00409,-0.70946,-0.44194,0.54896
2901.0,16.0,17.0,18.0,0.0,1.0,1321.0051,1096.2957,125.03693,759.055,1783.2827,-1.59368,-3.53294,0.45506,-0.70065,-0.23114,-0.67502
2932.0,7.0,8.0,9.0,0.0,1.0,345.31888,1293.4828,2669.4236,3072.9204,1235.305,-2.60312,-3.54371,0.31759,-0.58419,-0.50223,-0.63756
3040.0,30.0,31.0,32.0,2.0,3.0,1299.4673,4353.676,672.56134,1287.0992,5038.605,0.08763,-3.32261,0.44693,-0.70886,-0.55836,-0.43099
3043.0,22.0,23.0,24.0,57.0,58.0,128.64754,1763.0059,63.57493,1826.5808,128.64754,-0.92018,2.93087,0.67963,-0.99698,0.00472,0.07755
3137.0,10.0,11.0,12.0,35.0,36.0,776.0169,3085.382,390.46814,3767.9705,483.89667,-2.49363,0.4948,-0.26302,0.53056,-0.76707,-0.3607
3188.0,31.0,32.0,33.0,53.0,54.0,567.8938,1849.312,1155.23,3513.3572,60.33416,0.26282,2.51765,0.20628,-0.71948,-0.38565,-0.5776
3212.0,40.0,41.0,42.0,7.0,8.0,97.7624,2570.8914,579.17255,3150.064,97.7624,1.07428,-2.81079,-0.03601,0.58635,-0.35092,0.7301
3280.0,12.0,13.0,14.0,21.0,22.0,212.32405,903.29767,1053.437,1584.9841,584.0746,-2.22257,-1.10568,-0.61105,0.87877,-0.3023,-0.36929
3398.0,1.0,2.0,3.0,0.0,1.0,388.70364,1340.6968,729.6215,2449.2104,9.8116,-3.54205,-3.71414,-0.23566,0.72552,-0.06693,0.68494
3459.0,58.0,59.0,60.0,59.0,60.0,1332.989,1915.5732,1067.1165,2762.633,1553.0455,3.04541,3.27562,-0.06204,0.37795,-0.67249,0.63633
3518.0,31.0,32.0,33.0,23.0,24.0,82.0905,5.17771,109.42407,87.26821,109.42407,0.06394,-1.00308,0.56718,-0.50719,-0.12508,0.85271
3529.0,24.0,25.0,26.0,13.0,14.0,1745.6047,2116.3345,392.62616,4197.4854,57.08005,-0.64489,-2.13445,-0.36167,-0.68923,0.72342,0.04029
3702.0,53.0,54.0,55.0,57.0,58.0,1900.9563,527.59106,228.66193,255.40271,2401.8066,2.61772,3.04368,0.03118,-0.62596,0.341,-0.70135
3815.0,0.0,1.0,2.0,54.0,55.0,899.8911,1464.2997,1348.8676,1480.0978,2232.9607,-3.76462,2.5456,-0.66082,0.47536,0.85893,-0.19045
3825.0,15.0,16.0,17.0,52.0,53.0,1563.2045,1636.4594,404.35202,579.17615,3024.8396,-1.66314,2.48245,0.26387,-0.94194,-0.32191,-0.09556
3877.0,30.0,31.0,32.0,59.0,60.0,952.5176,1367.599,1814.7499,3182.3489,952.5176,-0.1428,3.26797,-0.44226,-0.52517,-0.42041,-0.7399
3906.0,19.0,20.0,21.0,5.0,6.0,185.28365,1985.0938,1390.5132,2678.5151,882.37555,-1.41456,-3.10702,-0.07428,0.54188,0.27807,-0.79312
3941.0,16.0,17.0,18.0,56.0,57.0,391.0837,1441.0703,348.4732,391.0837,1789.5436,-1.74556,2.84908,-0.54788,0.10285,0.57797,-0.80955
3971.0,51.0,52.0,53.0,26.0,27.0,930.66046,2947.3481,524.18134,1667.7195,2734.4705,2.23853,-0.68062,-0.52305,0.59071,0.57885,0.56213
4005.0,8.0,9.0,10.0,17.0,18.0,738.68634,1299.6011,832.82587,950.9138,1920.1996,-2.76527,-1.52996,-0.72933,0.8376,-0.49438,0.2324
4069.0,3.0,4.0,5.0,0.0,1.0,105.68932,148.45714,2856.9263,2856.9263,254.14645,-3.09484,-3.62105,0.29735,0.56739,0.26232,-0.78055
4132.0,49.0,50.0,51.0,32.0,33.0,860.9099,1657.7919,1224.8835,1426.6935,2316.7625,2.0436,0.23387,0.18654,0.44278,-0.88562,-0.14011
4241.0,20.0,21.0,22.0,4.0,5.0,119.79493,1403.8593,1721.4406,2334.3604,910.7725,-1.04035,-3.02975,-0.36722,-0.38421,-0.51759,0.76451
4268.0,34.0,35.0,36.0,10.0,11.0,2899.0579,1053.3402,554.69116,2862.2253,1644.8787,0.58814,-2.40319,0.478,-0.96343,-0.20606,-0.17131
4357.0,55.0,56.0,57.0,42.0,43.0,2765.997,2603.5898,107.69405,244.07349,5233.2075,2.77182,1.2899,-0.04905,-0.54437,0.32951,-0.77141
4449.0,43.0,44.0,45.0,1.0,2.0,539.4491,3233.833,997.2442,1153.755,3616.642,1.31305,-3.34912,0.47404,0.432,-0.81735,-0.3812
4503.0,57.0,58.0,59.0,28.0,29.0,86.14943,2383.0232,310.12366,2652.3784,126.91789,3.14467,-0.43793,-0.50654,-0.51168,0.84818,0.13703
4588.0,61.0,62.0,63.0,1.0,2.0,2476.8142,2150.7373,126.62429,126.62429,4627.552,3.56388,-3.35583,-0.01027,-0.32423,-0.46091,-0.8261
4713.0,8.0,9.0,10.0,31.0,32.0,727.61444,855.4978,1959.3196,3243.7974,298.63443,-2.76572,-0.02348,0.67069,0.86094,0.40286,0.31062
4829.0,51.0,52.0,53.0,57.0,58.0,466.93704,2154.5364,750.1335,2037.1346,1334.4722,2.27053,2.9532,0.49481,0.31174,0.88449,-0.34713
4926.0,48.0,49.0,50.0,55.0,56.0,172.81636,1581.2677,17.39329,190.20966,1581.2677,1.93523,2.76836,-0.67123,0.71756,0.18082,0.67262
4943.0,20.0,21.0,22.0,32.0,33.0,195.13943,1903.8936,3393.2627,247.8402,5244.4556,-1.1846,0.14022,0.30595,-0.43338,0.22096,-0.87371
4964.0,60.0,61.0,62.0,21.0,22.0,512.1606,2028.3597,1069.2916,2497.2476,1112.5643,3.29004,-1.2084,0.22973,0.61862,0.2982,0.7269
4980.0,55.0,56.0,57.0,26.0,27.0,1504.9342,2788.985,1792.6865,2880.7363,3205.8694,2.76418,-0.64088,0.18436,-0.28342,0.29227,0.91337
5022.0,39.0,40.0,41.0,26.0,27.0,634.504,792.08167,13.51975,1426.5857,13.51975,0.94593,-0.65114,0.42356,0.13961,-0.68727,-0.71286
5099.0,9.0,10.0,11.0,14.0,15.0,2312.9888,3186.304,1308.497,6222.7725,583.76166,-2.32137,-2.08782,-0.09985,-0.73132,0.14832,-0.66571
5117.0,40.0,41.0,42.0,19.0,20.0,199.57503,1707.0881,1289.4774,627.04535,2569.0952,1.01233,-1.40476,-0.62619,0.81093,-0.12087,0.57253
5163.0,38.0,39.0,40.0,38.0,39.0,109.77769,1838.7075,540.11633,226.52919,2262.0723,0.80414,0.77286,0.63235,0.18357,0.98274,0.02281
5177.0,0.0,1.0,2.0,21.0,22.0,2231.1719,1876.9012,998.6949,4015.4153,1091.3529,-3.81631,-1.24973,0.05477,0.86107,0.43376,-0.26534
5392.0,30.0,31.0,32.0,54.0,55.0,674.3482,889.98535,1290.426,206.96538,2647.7942,-0.2169,2.65876,-0.74729,0.53243,0.65168,0.54021
5449.0,46.0,47.0,48.0,62.0,63.0,322.71246,3869.0771,1399.0143,3055.6885,2535.1155,1.6724,3.54259,0.02837,0.61399,0.72094,0.32135
5641.0,40.0,41.0,42.0,7.0,8.0,2391.0276,2884.2957,1347.234,2487.8667,4134.6904,1.17649,-2.83383,0.13667,0.0645,-0.40257,-0.91312
5657.0,50.0,51.0,52.0,8.0,9.0,663.1007,3622.6326,683.8552,4880.133,89.41734,2.36442,-2.77589,0.09863,-0.66053,0.23877,0.71182
5686.0,4.0,5.0,6.0,3.0,4.0,691.46674,823.60065,2914.9502,2609.9028,1820.1149,-3.19126,-3.35214,-0.13577,0.4659,0.61987,-0.63142
5720.0,61.0,62.0,63.0,33.0,34.0,417.20975,1027.8043,2950.706,2269.719,2126.001,3.40016,0.23977,0.26942,0.93344,-0.22156,-0.28213
5741.0,44.0,45.0,46.0,29.0,30.0,374.4906,459.53702,1404.8346,285.8635,1952.9987,1.48556,-0.18615,0.12805,0.69456,-0.65598,0.29542
5788.0,52.0,53.0,54.0,22.0,23.0,1332.0779,1997.5306,912.7945,3944.1257,298.27728,2.398,-1.00913,0.10209,0.22564,-0.62802,-0.74476
5845.0,12.0,13.0,14.0,10.0,11.0,1080.0652,1176.3461,143.6654,143.6654,2256.4114,-2.17881,-2.32538,-0.2657,-0.46734,-0.48012,0.74234
5941.0,54.0,55.0,56.0,31.0,32.0,2102.7466,1405.8105,3497.181,5939.8184,1065.9196,2.77014,-0.06573,-0.07716,0.60419,0.04402,-0.79563
5998.0,61.0,62.0,63.0,59.0,60.0,991.59906,863.2694,1762.839,1975.7483,1641.9591,3.39355,3.16714,0.53705,0.43015,0.15541,0.88928
6005.0,39.0,40.0,41.0,47.0,48.0,23.03404,977.30304,1458.6151,23.03404,2435.9182,0.96802,1.9441,-0.11785,0.99649,-0.07876,0.02844
6101.0,13.0,14.0,15.0,9.0,10.0,1818.6089,2164.188,935.7723,3787.052,1131.5172,-1.94762,-2.43155,0.10299,0.43372,-0.83755,-0.33225
6260.0,60.0,61.0,62.0,0.0,1.0,309.09412,2842.1536,326.92615,2512.0337,966.1401,3.3268,-3.50505,-0.6834,0.51699,0.11115,0.84875
6306.0,60.0,61.0,62.0,16.0,17.0,1604.044,964.9174,115.78964,850.9109,1833.8401,3.27638,-1.68837,-0.02173,-0.43283,-0.86757,0.2449
6314.0,42.0,43.0,44.0,56.0,57.0,430.58847,1340.8674,1800.9808,1609.8729,1962.5638,1.22146,2.84597,-0.12522,0.69729,0.36943,0.61425
6455.0,42.0,43.0,44.0,40.0,41.0,774.9375,1670.0387,1404.5432,2333.5059,1516.0135,1.22603,1.01063,-0.02546,0.41828,0.29431,-0.85932
6484.0,4.0,5.0,6.0,33.0,34.0,1360.051,1692.6031,890.8682,653.7372,3289.7852,-3.0035,0.28567,0.43298,0.55526,0.06323,-0.82927
6505.0,53.0,54.0,55.0,3.0,4.0,1180.5409,1510.563,610.19354,2848.6274,452.66983,2.69201,-3.32412,-0.31951,-0.95834,-0.2819,0.04605
6573.0,39.0,40.0,41.0,25.0,26.0,228.07558,742.3028,2498.2722,3147.4587,321.192,0.88124,-0.74365,0.57779,0.98718,0.15325,0.04452
6713.0,53.0,54.0,55.0,53.0,54.0,2312.7302,2149.5955,2633.765,1104.6414,5991.411,2.63591,2.66466,-0.3974,0.26616,-0.51289,0.81615
6751.0,16.0,17.0,18.0,39.0,40.0,1471.526,763.77094,63.4844,648.8721,1649.9092,-1.60918,0.92849,0.6386,-0.39622,-0.80085,-0.44906
6779.0,55.0,56.0,57.0,43.0,44.0,1092.7336,3207.0652,320.0938,2565.5742,2054.3184,2.97141,1.32368,-0.04565,-0.87903,0.45829,0.13147
6849.0,33.0,34.0,35.0,61.0,62.0,1172.4907,3653.7173,311.9922,2416.441,2721.7593,0.15001,3.44707,0.31697,0.92728,0.21225,-0.30837
6912.0,56.0,57.0,58.0,6.0,7.0,1142.3854,1423.3221,463.07724,912.11475,2116.67,3.04645,-2.92611,0.58887,-0.90792,0.20288,-0.36677
6987.0,43.0,44.0,45.0,0.0,1.0,271.20505,1883.4603,530.3669,959.99786,1725.0343,1.3899,-3.52128,-0.59601,0.47891,-0.78357,0.39581
7010.0,37.0,38.0,39.0,28.0,29.0,1197.5312,1411.2316,2222.5452,1761.6006,3069.7073,0.67675,-0.36037,-0.30174,0.13637,-0.00494,-0.99065
7015.0,41.0,42.0,43.0,6.0,7.0,1237.5873,1385.6398,1379.8314,1590.4622,2412.5962,1.37311,-2.84887,0.03881,-0.74083,0.27169,0.6143
7021.0,39.0,40.0,41.0,57.0,58.0,1438.5416,660.92584,2082.6897,2838.1558,1344.0013,0.84159,2.9733,0.48196,-0.33483,0.17463,-0.92596
7088.0,47.0,48.0,49.0,58.0,59.0,108.32477,992.0086,402.5869,1394.5955,108.32477,1.94354,3.0552,0.01462,0.1749,-0.95265,-0.24873
7200.0,25.0,26.0,27.0,46.0,47.0,380.2437,1693.1849,1927.4098,647.0751,3353.7634,-0.73337,1.68234,-0.20368,0.71027,0.46638,-0.52726
7205.0,20.0,21.0,22.0,61.0,62.0,59.20153,594.87695,2110.432,663.32684,2101.1833,-1.19384,3.53486,0.08433,0.78416,-0.34586,0.51524
7255.0,61.0,62.0,63.0,57.0,58.0,700.06793,1721.8818,2149.45,52.40771,4518.992,3.41795,3.10662,0.11848,0.30006,-0.29317,0.90775
7326.0,2.0,3.0,4.0,50.0,51.0,166.58438,1607.4427,1558.8138,837.8403,2495.0007,-3.37191,2.15569,0.39235,0.54362,-0.82887,-0.13207
7327.0,61.0,62.0,63.0,55.0,56.0,657.924,754.63007,1716.4409,1117.007,2011.988,3.52737,2.87599,0.02825,0.0675,-0.91724,0.39258
7413.0,4.0,5.0,6.0,42.0,43.0,879.7196,881.53656,1177.711,1282.125,1656.8422,-3.20859,1.32484,-0.56093,0.32937,-0.46835,-0.81985
7422.0,22.0,23.0,24.0,0.0,1.0,321.75934,880.47577,2117.352,2426.2861,893.3011,-1.08527,-3.70398,0.18223,0.79221,0.54045,-0.28341
7434.0,14.0,15.0,16.0,3.0,4.0,1842.26,2126.33,239.59273,692.651,3515.5317,-1.8471,-3.2494,-0.2118,-0.68764,0.14699,-0.71102
7465.0,0.0,1.0,2.0,62.0,63.0,278.3265,1252.577,11.067,335.57635,1206.3942,-3.46473,3.55828,-0.03606,-0.71851,0.1551,0.67801
7555.0,19.0,20.0,21.0,8.0,9.0,787.3585,6411.869,421.94354,1289.834,6330.0234,-1.45987,-2.52207,-0.36938,0.65445,-0.65289,0.38135
7561.0,9.0,10.0,11.0,40.0,41.0,2564.9844,901.10205,15.05932,601.17395,2879.972,-2.56578,0.99317,-0.54449,-0.77478,0.5806,0.25023
7624.0,17.0,18.0,19.0,30.0,31.0,263.9739,300.98016,1063.6025,1364.5828,263.9739,-1.52622,-0.13119,0.13387,0.56299,0.44212,0.69826
7713.0,40.0,41.0,42.0,6.0,7.0,506.80725,1600.4492,2408.2332,1527.8859,2987.604,0.98077,-2.95033,0.3158,0.38173,0.36682,-0.84837
7733.0,13.0,14.0,15.0,13.0,14.0,1316.7161,1334.8694,1186.5497,1087.4073,2750.728,-2.12502,-2.07924,-0.22235,-0.2558,0.22877,-0.93927
7773.0,53.0,54.0,55.0,32.0,33.0,2399.8147,2081.4602,665.6648,3861.8948,1286.3003,2.78316,0.22122,-0.2918,-0.80479,-0.44661,-0.39097
7846.0,13.0,14.0,15.0,62.0,63.0,2081.4087,1169.4509,883.0176,2030.6875,2103.1897,-1.87848,3.59916,-0.3326,-0.21724,-0.75127,0.62322
7869.0,58.0,59.0,60.0,23.0,24.0,1293.4686,1658.8683,2447.3162,1866.7067,3532.9463,3.22642,-0.94623,0.29462,0.52699,-0.62593,-0.57489
8030.0,47.0,48.0,49.0,45.0,46.0,1021.4424,707.84546,289.93207,1892.9572,126.2628,1.984,1.58226,-0.64777,-0.71325,-0.53004,-0.45862
8033.0,46.0,47.0,48.0,5.0,6.0,374.92474,1194.0205,1288.656,2004.3486,853.2526,1.88434,-2.95137,0.62249,0.6622,-0.70064,-0.2657
8157.0,56.0,57.0,58.0,20.0,21.0,51.94923,1125.3168,2932.2275,3035.9216,1073.5719,3.06761,-1.20025,0.26408,0.29358,0.24325,0.92447
8174.0,54.0,55.0,56.0,2.0,3.0,697.4843,1570.138,838.6008,1002.3963,2103.8267,2.88102,-3.30958,0.53053,-0.87806,-0.47284,0.07372
8200.0,39.0,40.0,41.0,6.0,7.0,3118.7385,1189.9012,777.8352,4535.131,551.34406,1.09694,-2.96667,-0.00303,-0.64245,0.73794,0.20666
8287.0,45.0,46.0,47.0,59.0,60.0,507.1053,1033.162,794.4395,1827.6016,507.1053,1.71748,3.1967,-0.02563,-0.48004,0.09061,0.87256
8295.0,34.0,35.0,36.0,34.0,35.0,2006.8108,826.2506,111.43731,2266.1206,678.378,0.23295,0.33956,0.74196,0.53237,-0.28183,-0.79822
8338.0,16.0,17.0,18.0,12.0,13.0,2497.6096,1700.4398,1574.7759,5762.981,9.8442,-1.83729,-2.31212,0.01368,-0.3078,0.05302,0.94997
8389.0,16.0,17.0,18.0,60.0,61.0,715.61816,2555.4993,1940.5717,3880.7874,1330.9019,-1.84495,3.41599,0.34752,0.45214,-0.85947,-0.2385
8413.0,48.0,49.0,50.0,19.0,20.0,96.0929,614.3139,4144.5005,4719.157,135.75026,1.95518,-1.39888,0.07844,0.97657,0.01479,-0.21467
8429.0,21.0,22.0,23.0,16.0,17.0,1755.0245,1894.6284,2427.1648,3629.6562,2445.9387,-1.14416,-1.60302,0.66193,-0.26142,-0.96523,-0.00028
8526.0,27.0,28.0,29.0,11.0,12.0,1222.8546,2886.5935,413.43005,1114.2168,3408.6614,-0.31517,-2.25163,-0.38639,-0.3723,-0.3147,0.87313
8560.0,38.0,39.0,40.0,13.0,14.0,746.961,750.9747,2008.9265,441.09647,3065.7656,0.7397,-2.11818,0.6611,0.75767,0.64844,0.07394
8563.0,51.0,52.0,53.0,56.0,57.0,1189.103,1923.477,102.80099,102.80099,3112.58,2.34646,2.93382,-0.4907,-0.01315,-0.02328,0.99964
8578.0,46.0,47.0,48.0,11.0,12.0,2123.549,2119.2285,448.98438,59.66939,4632.0923,1.89066,-2.33835,0.09314,-0.54822,0.83619,0.01554
8583.0,51.0,52.0,53.0,3.0,4.0,2083.341,2271.8293,908.54,3005.772,2257.9387,2.37449,-3.16139,-0.23844,-0.6594,-0.28997,-0.69362
8699.0,60.0,61.0,62.0,43.0,44.0,297.0823,2247.1091,142.89807,1853.7766,833.3129,3.48096,1.37101,0.63856,-0.16356,0.72978,-0.66383
8855.0,55.0,56.0,57.0,14.0,15.0,67.86892,34.44734,1828.6764,1797.7184,133.27426,2.96921,-1.99972,-0.06178,0.72944,-0.1023,-0.67635
8919.0,6.0,7.0,8.0,11.0,12.0,3100.3606,873.0862,30.95674,1299.5735,2704.83,-2.79483,-2.29195,0.38354,-0.15437,0.86636,-0.47496
8922.0,12.0,13.0,14.0,56.0,57.0,204.84023,2919.27,59.68992,889.59924,2294.201,-2.17302,2.93015,0.43832,0.28445,0.4393,0.85211
8950.0,4.0,5.0,6.0,51.0,52.0,62.33484,1591.8252,673.9763,972.5275,1355.6088,-2.9859,2.29121,0.02524,0.34531,0.80708,-0.47893
9018.0,25.0,26.0,27.0,19.0,20.0,3814.1052,650.9576,97.80708,2486.594,2076.276,-0.64446,-1.39609,-0.0801,-0.76601,-0.18347,-0.61609
9019.0,60.0,61.0,62.0,51.0,52.0,4308.4414,1502.4349,646.14844,4732.799,1724.2263,3.5451,2.28456,0.05096,-0.9438,0.06454,0.32415
9125.0,53.0,54.0,55.0,29.0,30.0,1206.2911,1205.28,547.87366,1336.34,1623.1049,2.72438,-0.20584,-0.55925,-0.60133,0.7762,-0.1895
9144.0,42.0,43.0,44.0,40.0,41.0,2171.533,946.7132,116.51408,2520.4329,714.32745,1.39375,1.00705,0.65928,-0.68785,0.72051,0.08786
9358.0,56.0,57.0,58.0,23.0,24.0,453.12793,1052.5204,3008.5837,3829.1519,685.08026,2.82897,-0.90937,-0.26723,0.38748,-0.1329,0.91225
9365.0,59.0,60.0,61.0,42.0,43.0,1209.4789,1710.0487,557.46747,2110.702,1366.2931,3.44311,1.29955,-0.37061,-0.93028,-0.0269,-0.36586
